,"If not answered by DB, do not surface in website. ",,,"If not answered by DB, do not surface in website. ",Data broker primary address,,,,,"If not answered by DB, do not surface in website. ",,,,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belardi Ostroy ,Belardi Wong,https://www.belardiwong.com/,privacy.officer@belardiwong.com,212-924-1300,"750 College Road East, Suite 201 ",Princeton ,NJ,08540,USA,N/A,No,No,No,https://www.belardiwong.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,18,17,0,0,4,4.4,3,3,0,0,0,1,0,0,0,0,0,0,1269,455,0,814,2,1.94,0,0,0,0,0,0,The 814 requests that we denied were spam requests. ,
BH MARKETING GROUP LLC,US Marketing Group,https://www.usmarketinggrp.com/,PRIVACY@usmarketinggrp.com,,"3639 Harbor Blvd., Ste. 121",Ventura,CA,93001,USA,N/A,No,No,Yes,https://www.usmarketinggrp.com/privacy-policy/#CCPA,No,,,,No,,,,No,,,,No,,,,No,,,,267084,267082,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,267086,267086,0,0,0,0,0,0,0,0,0,0,,
Message Digital LLC,,https://www.messagedigital.com,privacy@messagedigital.com,510-200-8316,2054 University Ave. Ste. 600,Berkeley,CA,94704,USA,N/A,No,No,No,https://www.messagedigital.com/my-data,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Above Data, Inc.",,https://www.abovedata.io,ben@abovedata.io,937-243-3708,"106 Lincoln Blvd., Ste. 100",San Francisco,CA,94960,USA,N/A,No,No,No,https://www.abovedata.io/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Adstra LLC,,https://www.adstradata.com/,privacy.officer@adstradata.com,609-580-2800,"750 College Road East, Suite 201",Princeton ,NJ,08540,USA,N/A,No,No,No,https://www.adstradata.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,1410,1279,0,131,3,2.99,28,22,0,6,2,3.59,0,0,0,0,0,0,29478,24575,0,4903,2,3.2,0,0,0,0,0,0,The requests denied were spam requests. ,
"Dresden Direct, Inc.",,https://www.dresdendirect.com,phil@dresdendirect.com,561-236-4449,109 Saint Edward Place,"Palm Beach Gardens, FL 33418",FL,33418,USA,na,No,No,No,https://www.DresdenDirect.com,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Kloudend, Inc.",ipapi,https://www.ipapi.co/,privacy@kloudend.com,,"1887 Whitney Mesa Dr., #4080
",Henderson,NV,89014,USA,N/A,No,No,No,https://www.ipapi.co/donotsell/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PaeDae, Inc.",Infillion,https://www.infillion.com,privacy@infillion.com,,"853 Broadway, 21st Floor",New York City,NY,10003,USA,N/A,No,Yes,No,https://www.infillion.com/legal/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,98,98,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,8,8,0,0,0,0,0,0,,
L.S Mobile Apps Holdings Ltd,,https://www.lsmapps.com/,privacy@lsmapps.com,,N/A,N/A,N/A,N/A,N/A,"132 Derech Menachem Begin,Tel Aviv, Israel, 6701101 ",No,No,No,https://www.lsmapps.com/privacy-center,No,,,,No,,,,No,,,,No,,,,No,,,,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,6,0,0,0,0,0,0,,
Collective Data Solutions,,https://www.collectivedata.io/,privacy@collectivedata.io,,"301 Cedar Street, Suite 205",Sandpoint,ID,83864,USA,N/A,No,Yes,No,https://www.collectivedata.io/website-visitor-privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,548,548,0,0,15,15.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"We do not differentiate between “do not sell”, “do not share”, “delete”, and any similar such request that a person sends asking us to not use or limit the use of their data in some way.   Performing a blacklist+delete operation on a consumers data complies with the substance of the request in all such cases.   However, for metric purposes, they will all show as “delete” requests in our systems.",
"Alliant Cooperative Data Solutions, LLC",,https://www.alliantinsight.com/,compliance@alliantdata.com,845-617-5500,301 Fields Ln., Brewster,NY,10509,USA,N/A,No,No,No,https://www.alliantinsight.com/alliant-privacy-policy/,Yes,Alliant collects financial information and licenses the data to third parties in compliance with FCRA. ,Alliant maintains a FCRA compliant database which Alliant uses to provide insights to third parties regarding consumer financial behavior.,FCRA data is about 6%.,No,,,,No,,,,No,,,,No,,,,49,49,0,0,1,1,22,22,0,0,1,1,0,0,0,0,0,0,40,40,0,0,1,1,0,0,0,0,0,0,,
CTAM LeadShare Corp.,Smart Move,https://www.smartmove.us,compliance@ctam.com,,"120 Waterfront Street, Ste. 200",Oxon Hill,MD,20745,USA,N/A,No,No,No,https://www.smartmove.us/company/privacy,No,,,,No,,,,No,,,,No,,,,No,,,,70650,70650,0,0,15,18,70650,70650,0,0,15,18,70650,70650,0,0,15,18,70650,70650,0,0,15,18,70650,70650,0,0,15,18,N/A,
"Seamless Contacts, Inc.",Seamless.AI,https://www.seamless.ai,privacy@seamlessleads.com,,"7652 Sawmill Road, Suite 341",Dublin,OH,43016,USA,N/A,No,No,No,https://login.seamless.ai/personalDataRequest,No,,,,No,,,,No,,,,No,,,,No,,,,125,125,0,0,1.35,12.04,25,25,0,0,1.32,11.7,0,0,0,0,0,0,250,250,0,0,1.31,11.4,0,0,0,0,0,0,,
Salutary Data LLC.,,https://www.salutarydata.com,privacy@salutarydata.com,,29 Locust Avenue,Lexington,MA,02421,USA,N/A,No,No,No,https://www.salutarydata.com/privacy-opt-out-and-disclosure-form/,No,,,,No,,,,No,,,,No,,,,No,,,,18875,18844,18875,31,35,35,31,31,31,31,35,35,31,31,31,31,35,35,18875,18844,18875,31,35,35,18875,18844,18875,31,35,35,"Salutary Data treats requests to delete and to opt-out of sale of sensitive personal information the same whereby we delete and suppress such data subjects from our database.  Relative to denying requests, Salutary Data replies to data subject requests by informing the data subject that he/she is not in our database, explaining the nature of our database, and asking if they would like to have their record suppressed if it ever appears in the future; such replies are not responded to further.",
Moody's Corporation,,https://www.moodys.com,privacy@moodys.com,,7 World Trade Center at 250 Greenwich Street,New York,NY,10007,USA,N/A,No,No,No,https://www.moodys.com/web/en/us/legal/privacy-policy.html,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moody's Corporation is a newly registered data broker. ,"Moody’s Corporation is not a financial institution that is directly subject to the GLBA requirements, but it has subsidiaries that may act as service providers to some financial institutions that may be subject to the GLBA requirements."
"Wiland, Inc.",,https://www.Wiland.com,privacy@wiland.com,,7420 E. Dry Creek Parkway,Niwot,CO,80503,USA,N/A,No,No,No,https://www.Wiland.com/privacy-choices,No,,,,No,,,,No,,,,No,,,,No,,,,176,149,0,27,5.3,5.3,1,1,0,0,19,19,1,1,0,0,19,19,790,312,0,478,4.2,3.9,0,0,0,0,0,0,Denials of deletion and opt-out requests were due to the failure of the requester to sufficiently authenticate the requester’s or the individual’s identity.,"We are a marketing company whose clients range from some of the biggest companies and charities in the U.S. to local charities, such as food banks. We help our clients identify people who might be interested in their marketing offers. Sometimes our research is intended to help our clients find new donors or customers, others to find new ways to serve or connect with existing donors or customers. But whether they are our clients, the American consumer, or others, we care about people, and provide consumers with privacy choices. We have provided a form and a toll free number on our website at www.Wiland.com/privacy-choices for consumers to submit requests under the CCPA.  We believe in honoring consumers' privacy choices, as described above. We do not currently make consumer information publicly available via a website or other online service, nor do we currently host public websites where other consumers could post this information.   Please see www.Wiland.com/Privacy-Choices for more information about our products and services, how we use and protect consumer personal information and how consumers can exercise their privacy choices.  We use consumer data for the purpose of creating products and services intended to help consumers receive relevant marketing offers and to reduce marketing waste and unwanted advertising. We require our clients to use our products only for marketing related activities, and not for sensitive decisions like credit, employment or housing. In addition, we limit the type of data we receive and the type of data we share in the interest of consumer privacy. We don't possess or utilize sensitive data like credit card or bank account numbers, Social Security Numbers or other government-issued identifiers. We do not accept or generate information specifying individuals' health conditions (such as protected health information, aka ""HIPAA data""). We don't release information to third parties concerning specific items that a consumer has purchased, what magazines they read, or what charities they support unless requested by the organization with whom the consumer has a relationship.  Our marketing products and services are designed only for use in marketing to United States consumers above the age of 18. We do not knowingly collect information about consumers residing in other locations (such as Europe) or about children.  We seek to work only with reputable organizations.  After all, we are consumers too, and care deeply how consumer data is used.  We have a documented client approval process that is reviewed and updated periodically. We don’t work with clients whose product or service we believe to be illegal, fraudulent, pornographic or harmful to families.  Executive officer approval is required for accepting an engagement with a new client.  We belong to several industry groups such as the Data and Marketing Association division of the ANA and the Digital Advertising Alliance. One reason these self-regulatory groups exist is to ensure that companies commit to honoring consumer choice. In addition to the privacy choices we offer consumers directly, we encourage consumers to utilize industry solutions, such as the DMA mail and email preference services and the DAA Ad Choices service to cast a broader net for their advertising choices.  The DMA consumer choice website is: https://dmachoice.org/.  The DAA consumer choice website is: http://youradchoices.com."
Foo Monk LLC,Instantly.ai,https://www.instantly.ai,legal@instantly.ai,,30 N Gould St. Suite 4000,Sheridan,WY,82801,USA,N/A,No,No,No,https://instantly.ai/privacy,No,,,,No,,,,No,,,,No,,,,No,,,,22,22,22,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,22,22,22,0,1,1,22,22,22,0,1,1,We have 22 request total. We complied with all of them within 1 business day.,
Rich Media LLC,,https://www.richmediallc.com,jeff@richmediallc.com,,"10191 Sweet Bay Ct
",Parkland ,FL,33076,USA,na,No,No,No,https://www.richmediallc.com/do-not-sell-my-personal-information/,No,,,,No,,,,No,,,,No,,,,No,,,,38,38,38,0,10,12,10,10,10,0,10,12,10,10,10,0,10,12,38,38,38,0,10,12,38,38,38,0,10,12,,
"Lead Intelligence, Inc. ",Verisk Marketing Solutions ,https://www.verisk.com,vmsprivacy@verisk.com,800-888-4476,"Verisk Law Dept., 545 Washington Blvd. ",Jersey City ,NJ,07310,USA ,N/A,No,No,No,https://urldefense.com/v3/__https://marketing.verisk.com/privacy-center/__;!!Em4Sr2I!NyGTB8tP4SclzQ6I6EcsO-OvvZ7Avwx_vdjNmT47Dk6Ya9xUpuFj50pXKSiqqP0VBBzBMjMfqAvJ4rgtdVtN_tBEtw$,Yes,"Lead Intelligence Inc, provides consumer contact data (name/address/phone/email) to a company that us a Credit Reporting Agency ","Lead Intelligence Inc, provides consumer contact data (name/address/phone/email) to a company that us a Credit Reporting Agency ",Its 3% of our annual revenue ,No,,,,No,,,,No,,,,No,,,,61,37,0,24,5,9,8,4,0,4,10,20,8,4,4,4,10,20,61,37,0,24,5,9,0,0,0,0,0,0,"In order to honor the Right to Limit the Use of Personal data, Lead Intelligence deletes the consumer's information and  therefore the number of requests is included in the Deletion metrics.  Lead Intelligence processes opt-outs in the same manner as deletions, which is why the metric number is the same",N/A
Insightbridge LLC,MyLife,https://www.mylife.com/,membersupport@mylife.com,,"1309 Coffeen Avenuem, Ste. 14998",Sheridan,WY,82801,USA,N/A,No,No,No,https://www.mylife.com/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"JDM LIST SERVICES, LLC",,https://www.jdmlistservices.com,chrissy@jdmlistservices.com,347-213-0076,1400 5th Avenue #2G ,New York,NY,10026,USA,N/A,No,No,No,https://www.jdmlistservices.com/do-not-sell-my-info,No,,,,No,,,,No,,,,No,,,,No,,,,26,26,12,0,90,120,7,7,1,0,90,120,5,5,2,0,0,0,120,31,31,0,90,90,0,0,0,0,0,0,"I do not own any data or personal information on any household or individual, I comply by contacting my vendor who owns the data and confirm that the opt-request or information on an individual was received since we are both on CCPA and that the request  is being worked on","I am a 1 person sole proprietor little man, I do not own, collect, or gather any information on any household or individual.  But when I get a request for removal or etc.. I contact my vendor who advises that they have received the same request and is working on it"
Versium Analytics Inc.,,https://www.versium.com/,privacy@versium.com,,7530 164th Ave NE A204,Redmond,WA,98052,USA,N/A,No,No,No,https://www.versium.com/ccpa-privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,25162,25162,25162,0,10,10,24,7,7,17,10,10,0,0,0,0,0,0,25162,25162,25162,0,10,10,1,1,1,0,10,10,Any request to know that was denied/not fulfilled was because the consumer did not return verification documentation.,All details on data collection practices can be found in our California Privacy Notice (https://versium.com/ccpa-privacy-policy) and overall privacy policy (https://versium.com/privacy-policy).
"Webbula, LLC",,https://www.webbula.com,privacy@webbula.com,,"5000 Stonewood Dr., Ste 310
",Wexford,PA,15090,USA,N/A,No,No,No,https://www.webbula.com/privacy-center/,No,,,,No,,,,No,,,,No,,,,No,,,,125,125,0,0,3,14,0,0,0,0,0,0,8,2,0,6,3,14,8516,8516,0,0,3,14,0,0,0,0,0,0,Any denials of Requests to Know were based on consumers abandoning their request by not verifying their identity as required by CCPA. Any unfulfilled Requests to Opt Out or Requests to Delete were based on consumers abandoning their request by not completing an opt out or delete form,
"First Direct, Inc.","First Direct, National List Services",https://www.firstdirectmarketing.com,privacy@firstdirectmarketing.com,402-403-0000,"1508 J F Kennedy Dr., Suite 102",Bellevue,NE,68005,USA,N/A,No,No,No,https://firstdirectmarketing.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,11,11,0,0,1,1,0,0,0,0,0,0,Visit https://firstdirectmarketing.com/privacy-metrics/ for details on reporting. ,Please visit https://compliance.firstdirectmarketing.com/ for current policies and options to request and manage data subject requests. 
"Focus USA, Inc",,https://www.focus-usa.com,privacy@focus-usa.com,201-489-2525,"PO BOX 1782
Paramus, NJ 07653-1782  ",Paramus,NJ,07653,USA,n/a,No,No,No,https://www.focus-usa.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,Yes,"We process (hygiene/validate address) first-party healthcare data for the collecting healthcare provider.  No data is collected, maintained or sold to any other companies by Focus USA, Inc.  This data is only used by the patient's first-party healthcare provider.","We process (hygiene/validate address) first-party healthcare data for the collecting healthcare provider.  No data is collected, maintained or sold to any other companies by Focus USA, Inc.  This data is only used by the patient's first-party healthcare provider.",Less than 1%.  We do not sell HIPAA regulated data.,8419,8419,0,0,2,1.73,7,7,0,0,3,2.6,1,1,0,0,0.5,1,8419,8419,0,0,2,1.73,0,0,0,0,0,0,,
LeadPost LLC,,https://www.leadpost.com,delete_mydata@leadpost.com,866-456-6674,555 Washington Ave. St. 310,St Louis,MO,63101,USA,N/A,No,No,No,https://www.leadpost.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,348065,348065,0,0,1,1,155,155,0,0,1,1,164,164,0,0,1,1,301467,301467,0,0,1,1,0,0,0,0,0,0,,https://leadpost.com/privacy-policy/
"33Across, Inc.",,https://www.33across.com/,privacy@33across.com,,228 Park Avenue South PMB 74008,New York,NY,10003,USA,N/A,No,No,No,https://www.33across.com/privacy-policy/ccpa-notice/,No,,,,No,,,,No,,,,No,,,,No,,,,629,629,0,0,12,12,3167,3167,0,0,12,12,3167,3167,0,0,12,12,629,629,0,0,12,12,0,0,0,0,0,0,33Across does not collect/process sensitive personal information.,
Nuwber Inc,,https://www.nuwber.com/,support@nuwber.com,,"700 North Fairfax Street, Suite 614",Alexandria,VA,22314,USA,N/A,No,No,No,https://www.nuwber.com/policy,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"In 2023, since publicly available information is exempt from the CCPA and is not considered personal data, Nuwber did not receive any requests under the CCPA for the right to access, delete, know, opt out of the sale or sharing, or limit the use of sensitive information.
All requests related to publicly available information were treated as suppression requests, and we complied with each request.
Overall, in 2023, Nuwber received and fulfilled 46,582 opt-out requests to suppress publicly available information about individuals, as outlined in Section 2 of the Nuwber Privacy Policy.",
"Anteriad, LLC",,https://www.anteriad.com/,privacy@anteriad.com,914-368-1000,2 International Drive,Rye Brook,NY,10573,USA,N/A,No,No,No,https://anteriad.com/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,154,86,68,68,2,4,0,0,0,0,0,0,,"An in-depth Overview of Anteriad’s data collection/processing practices can be found at http://www.anteriad.com/privacy-policy
Anteriad does not collect information directly from consumers. We are a business-to-business service provider.
"
"AWL Holdings, LLC","All Web Leads, Insurance Quotes",https://www.awl.com,onlineops@awl.com,,"9004 Anderson Mill Rd., Unit A",Austin,TX,78729,USA,N/A,No,No,No,https://www.awl.com/privacy/,No,,,,No,,,,No,,,,No,,,,Yes,"First Name, Last Name, Date of Birth",AWL Insurance Agency brokers health insurance,2%,875,875,0,0,1,1,491,491,0,0,1,1,491,491,0,0,1,1,1312379,1312379,0,0,1,1,0,0,0,0,1,1,"AWL considers requests to ""limit use"" the same as an opt-out request.  We process both the same way and immediately stop sale/sharing of consumer information.  Requests can be made verbally (by phone) or online form.  We accept phone number and/or email address as primary keys and prevent any further sharing or sale of consumers with matching phone/email that opt out.",
"Enigma Technologies, Inc.",,https://www.enigma.com,privacy@enigma.com,,"217 Centre Street, Suite 124",New York,NY,10013,USA,N/A,No,No,No,https://www.enigma.com/company/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,9,9,9,0,12,15.5,9,9,9,0,12,15.5,0,0,0,0,0,0,9,9,9,0,12,15.5,0,0,0,0,0,0,,
"Spokeo, Inc.",,"https://www.spokeo.com;
https://www.freepeopledirectory.com;
https://www.peoplewin.com;
https://thatsthem.com",legal@spokeo.com,877-864-0183,"199 S. Los Robles Avenue, Suite 711",Pasadena,CA,91101,USA,N/A,No,No,No,https://www.spokeo.com/privacy-policy,No,,,,Yes,Spokeo collects and sells credit header information that is subject to the GLBA.   The credit header information that Spokeo collects and sells generally consists of identifying and contact information of consumers over the age of 18.  The California Consumer Privacy Act does not apply to information that is subject to the GLBA.,"The specific service covered by the GLBA is currently referred to as Spokeo for Business - Right Party Contact (RPC).  This service is only available to qualified businesses and government agencies for purposes permitted by the GLBA, such as risk management and fraud detection.",The collection and sale of information that is subject to the GLBA currently represents less than 5% of Spokeo's total annual data collection and sales.,No,,,,No,,,,No,,,,23,23,23,0,1,1,43,43,43,0,1,1,43,43,43,0,1,1,3817446,3785692,3785692,31754,1,1,0,0,0,0,0,0,"Spokeo has since January 1, 2023 regarded the information it sells as ""publicly available information"" as defined by the California Consumer Privacy Act (excluding information subject to the GLBA that Spokeo collects and sells via its RPC product, as explained elsewhere in this registration).  Nevertheless, as Spokeo voluntarily done for many years, Spokeo allows consumers to opt out of the sale of ""publicly available information"" from its public websites.  In this section, Spokeo is reporting the metrics associated with consumers' requests to opt out of the sale of ""publicly available information"" from its public websites.  The reported metrics associated with consumers' requests to opt out of the sale of ""publicly available information"" from its public websites in 2023 aggregates the number of requests received through the Thatsthem.com website and through the Spokeo website.  

Spokeo aggregates the number of requests complied with in whole or in part.

All requests submitted in accordance with the instructions provided in the privacy policies posted on the Spokeo and Thatsthem.com websites are processed in real time following completion of the request submittal.

Spokeo does not use or disclose sensitive personal information.","The information sold by Spokeo consists of ""publicly available information"" as defined by the California Consumer Privacy Act (CCPA), which is excluded from the definition of ""personal information"" and subject to First Amendment protections for free speech, and information subject to the GLBA to which the CCPA does not apply.  

Nevertheless, Spokeo elects to be included in this registry to inform CA residents about the nature of the publicly available information that Spokeo provides on its public websites and how to opt-out.

The categories of publicly available information that are available on Spokeo’s websites are described in Spokeo's Privacy Policy located at https://www.spokeo.com/privacy-policy and in the ""Where does Spokeo's profile data come from?"" section on this webpage: https://www.spokeo.com/privacy/control/all-categories.

Spokeo enables all consumers, including CA residents, to opt out from having their publicly available information available on Spokeo's public websites. Consumers may complete their opt out request online by using our self-help tool located at https://www.spokeo.com/optout.  As of the writing of this registration, an opt out completed from this page will opt a consumer out from all public Spokeo websites except Thatsthem.com.  To opt out from having their publicly available information available on Thatsthem.com, consumers may submit their opt out request at https://www.thatsthem.com/optout.

Consumers may also submit their opt-out request by contacting Spokeo Customer Care via any of the contact methods listed at https://www.spokeo.com/contact (which includes a nationwide toll free number).  Spokeo's Customer Care agents will gladly assist consumers with completing an opt out request for all of Spokeo's public websites."
"Buxton Company, LLC",,https://www.buxtonco.com,consumerprivacy@buxtonco.com,,2651 South Polaris Drive,Fort Worth,TX,76136,USA,N/A,No,No,No,https://www.buxtonco.com/privacy,No,,,,No,,,,No,,,,No,,,,Yes,,,,3,2,0,1,9,21,2,1,0,1,28,28,2,2,0,0,28,28,2,2,2,0,19,19,0,0,0,0,0,0,,
Lead411 Corporation,,https://www.lead411.com,tom@lead411.io,505-500-2317,730 Evergreen Avenue,Boulder,CO,80304,USA,N/A,No,No,No,https://www.lead411.com/your-privacy-choices/,No,,,,No,,,,No,,,,No,,,,No,,,,143,143,0,0,28,24,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Any consumer that requested the ""opt out of the sale""  - we deleted their information as well. ",
"Round Sky, Inc.",,https://www.roundsky.com,legal@roundsky.com,,"848 N. Rainbow Blvd., Ste. 326",Las Vegas,NV,89107,USA,N/A,No,No,No,https://www.roundsky.com/supplemental-privacy-notice/,No,,,,Yes,"Consumer name, address, phone number, email address, social security number, bank information, driver's license information, yearly income, pay frequency, and birthdate.
",Registrant acts primarily as a lead generator; its services facilitate financial operations on behalf of financial institutions.,99%,No,,,,No,,,,No,,,,321,321,0,0,19,12,2,2,0,0,19,19,0,0,0,0,0,0,310,310,0,0,19,12,4,4,0,0,21,18,"your questions #28-#57 are asking for metrics for the year 2023, we assume that is a typographical error and have provided the metrics for the year 2024, as Cal. Civ. Code asks for the metrics compiled pursuant to paragraphs (1) and (2) of subdivision (a) of Section 1798.99.85 which refer to the prior year's metrics.","your questions #28 to #57 are asking for metrics for the year 2023, we assume that is a typographical error and have provided the metrics for the year 2024, as Cal. Civ. Code asks for the metrics compiled pursuant to paragraphs (1) and (2) of subdivision (a) of Section 1798.99.85 which refer to the prior year's metrics."
"Whitepages, Inc",,https://www.whitepages.com,legal@whitepages.com,,"2033 6th Ave, Suite 1100",Seattle,WA,98121,USA,N/A,No,No,No,https://www.whitepages.com/privacy,No,,,,No,,,,No,,,,No,,,,No,,,,5083,4588,0,495,0.4,0.4,128,125,0,3,0.7,1,128,125,0,3,0.7,1,51427,51301,0,126,0.5,0.5,0,0,0,0,0,0,Whitepages does not collect sensitive personal information.,"Whitepages does not knowingly have, display, purchase or sell information related to minors."
adsquare GmbH,,https://www.adsquare.com/,privacy@adsquare.com,,"N/A
",N/A,NA,10405,N/A,Saarbrücker Str. 36 10405 Berlin Germany,No,Yes,No,https://www.adsquare.com/privacy/us_privacy_supplement/#goto-contact-us,No,,,,No,,,,No,,,,No,,,,No,,,,8,8,0,0,8.5,9,19,6,0,0,5.5,6,6,6,0,0,5.5,6,80192,80192,0,0,1,1,80192,80192,0,0,1,1,"Adsquare received thousands of opt-out requests in 2023 regarding email addresses from authorised agents that cited CCPA and GDPR. Adsquare solved all of them even if they were not coming from Californian consumers. 

",
"Lusha Systems, Inc.",,https://www.lusha.com,legal@lusha.com,,"800 Boylston Street, Suite 1410",Boston,MA,02199,USA,N/A,No,No,No,https://www.lusha.com/legal/ccpa/,No,,,,No,,,,No,,,,No,,,,No,,,,6144,6144,5645,499,2,1,8,8,8,0,2,1,8,7,7,1,2,1,6144,5645,5645,499,2,1,0,0,0,0,0,0,"Lusha collects business contact information. We only collect data to the extent necessary and do not collect, process, or store sensitive personal information of any kind. For more information about our data collection practices, see our Privacy Notice: https://www.lusha.com/legal/privacy-notice/. ","For a full review of Lusha's purpose, context, and legal basis for collecting personal information please see our Privacy Notice: https://www.lusha.com/legal/privacy-notice/. Many thanks. "
"Ray CDP, Inc.",,https://www.rayinsights.com,privacy@raycdp.com,386-259-0031,939 Hollywood Blvd.,Deltona,FL,32725,USA,NA,No,No,No,https://www.rayinsights.com/privacy-notice/consumer-choice-portal/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We received not requests in 2023.,
"EAB Global, Inc.",,https://www.eab.com,legal@eab.com,,2445 M St. NW,Washington,DC,20037,USA,N/A,No,No,No,https://www.eab.com/privacy-policy-2/,No,,,,No,,,,No,,,,No,,,,No,,,,6,6,6,2,45,45,14,14,14,14,45,45,171,171,171,0,45,45,829,829,829,42,45,45,829,829,829,42,45,45,,
GRIN Technologies Inc.,,https://www.grin.co/,legal@grin.co,,901 H St. Ste. 120,"Sacramento, California",CA,95814,USA,N/A,No,No,No,https://www.grin.co/privacy/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Lionshare Marketing, Inc",,https://www.lionsharemarketing.com,info@lionsharemarketing.com,913-631-8400,7830 Barton Street,Lenexa,KS,66214,USA,N/A,Yes,Yes,Yes,https://www.lionsharemarketing.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,Yes,Healthcare Electronic Medical Record collected for analysis as an approved Business Associate of Covered Entities,Customer Relationship Management and Analysis,40%,749588,749588,749588,0,1,1,749588,749588,749588,0,1,1,749588,749588,749588,749588,1,1,18214,18214,18214,0,1,1,749588,749588,749588,749588,1,1,,
Beeswax,,https://www.beeswax.com/,privacy@beeswax.com,,1407 Broadway,New York,NY,10018,USA,NA,No,Yes,No,https://www.beeswax.com/privacy/#what-information,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"We provide comprehensive ad platforms for publishers, advertisers, and media buyers. Our technology helps companies that publish content online (through apps, websites and streaming services, including connected TV and “over the top” providers, publishers and publisher content) permit advertising to be displayed to their end users. We are also providers of a software platforms, customers of which are publishers wishing to sell their ad space, and media buyers (advertisers or their intermediaries wishing to buy or bid for the right have their ads shown in that publisher’s ad space). 

More information about our privacy practices is available at beeswax.com/privacy.
"
"Pipl, Inc.",,https://www.pipl.com,privacy@pipl.com,,510 S Clearwater Loop Suite 100,Post Falls,ID,83854,USA,N/A,No,No,No,https://www.pipl.com/resources/privacy-documents/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,3,3,0,0,2.54,2.54,23,19,4,0,15.08,15.08,23,19,4,0,15.08,15.08,3161,1739,1422,0,8.29,8.29,0,0,0,0,0,0,,We don't post on the Internet or publicly display the personal information of any consumer.  Our practices are outlined in our privacy center on our Website. California residents are directed to a special URL that includes our CCPA privacy statement.
